Facility Name,Address,City,State,Zip Code,Phone Number,Facility Type,Type of Care,Regulation Status,Capacity,Serves DHS Children,Head Start,Relief Nursery,QRIS Stars
The Student Stop Bonny Slope,11775 NW McDaniel Rd,Portland,OR,97229,5038668330,Center,Regulated  Center (not HS),Certified,120,Unknown,No,No,.
El Nuevo Amanecer,12380 SW Center St Apt 36,Beaverton,OR,97005,5037409513,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
DCF Childcare,3130 NE Azalea St,Hillsboro,OR,97124,5036150467,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
KCE Champions - Indian Hills,21260 SW Rock Rd,Aloha,OR,97006,5035915560,Center,Regulated  Center (not HS),Certified,45,Yes,No,No,.
Just Like Mom DayCare,1178 SW 215th Ave,Beaverton,OR,97003-7058,5038483531,Certified,Regulated Family Child Care Home,Certified,4,Yes,No,No,.
,353 SE 34th Ct,Hillsboro,OR,97123,5036401310,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Sorrento Day Care,12650 SW Brockman St,Beaverton,OR,97008-7252,5035243972,Center,Regulated  Center (not HS),Certified,83,Yes,No,No,.
,6825 SW Nyberg St Apt G101,Tualatin,OR,97062,5038530898,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Children's Time Preschool,17225 NW Corridor Ct,Beaverton,OR,97006,5036149685,Center,Regulated  Center (not HS),Certified,124,Yes,No,No,.
Tiny Blessings Montessori Child Care Center,19160 SW Alexander St,Aloha,OR,97006,5036494815,Center,Regulated  Center (not HS),Certified,72,Yes,No,No,.
Tiffany's Tots,2935 SW 195th Ave,Aloha,OR,97003-2746,5034427709,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Tinkertime Preschool,52482 SE 2nd St,Scappoose,OR,97056-3615,5035432788,Center,Exempt Center,Recorded,27,Unknown,No,No,.
,835 SW Willow Creek Dr,Beaverton,OR,97003,5039014215,Family,Regulated Family Child Care Home,Register,6,Yes,No,No,2
YMCA - The Playground at Providence St. Vincent,9427 SW Barnes Rd,Portland,OR,97225,5032168081,Center,Regulated  Center (not HS),Certified,117,Yes,No,No,4
Nike Tykes,1 Bowerman Dr,Beaverton,OR,97005,5036713950,Center,Regulated  Center (not HS),Certified,32,Unknown,No,No,2
Kids Will Be Kids,280 NE 74th Ave,Hillsboro,OR,97124-8081,9712224699,Certified,Regulated Family Child Care Home,Certified,10,Yes,No,No,.
Poppin's Place,16654 SW Travis Ct,Sherwood,OR,97140,5036252018,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
ABC Children's Academy LLC,13935 SW Jenkins Road,Beaverton,OR,,5036411016,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
,20794 SW Mabel St,Aloha,OR,97006,5034880089,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Amazing Minds Academy,14538 NW Evergreen St,Portland,OR,97229,5033675904,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Carol's Care,10360 SW Walnut St,Tigard,OR,97223,5036399022,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Shae's Tiny Tykes Child Care / Preschool,11750 SW Timberline Dr,Beaverton,OR,97008-6301,5036269180,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Northwest Chinese Academy,8565 SW Beaverton Hillsdale Hwy,Portland,OR,97225-2433,5035463455,Center,Regulated  Center (not HS),Certified,25,Unknown,No,No,.
,829 NW Val Court,Hillsboro,OR,,5036489711,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
YMCA - Amberglen,2120 NW Amberbrook Dr,Beaverton,OR,97006-6954,5036299622,Center,Regulated  Center (not HS),Certified,160,Yes,No,No,2
Kids Discovery Academy,14678 SW Allen Blvd,Beaverton,OR,97007,5036435352,Center,Regulated  Center (not HS),Certified,94,Yes,No,No,2
CC Cares,1721 Pacific Avenue,Forest Grove,OR,,5034319288,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Children's Discovery School,3211 NW Glencoe Rd,Hillsboro,OR,97124,5036930464,Center,Regulated  Center (not HS),Certified,70,Yes,No,No,2
Marci Sleightam Day Care,34032 Mobile Ln,Scappoose,OR,97056,5034130113,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,2
YMCA - Tualatin,20405 SW 95th Ave,Tualatin,OR,97062-7552,5035726769,Center,Regulated  Center (not HS),Certified,15,Yes,No,No,2
Escuelita Armonia!,13755 SW Burlwood St,Beaverton,OR,97005,5036088297,Certified,Regulated Family Child Care Home,Certified,10,Yes,No,No,3
Bethany Childcare - Springville Elementary,6655 NW Joss Ave,Portland,OR,97229-1156,5037021300,Center,Regulated  Center (not HS),Certified,45,Unknown,No,No,.
Butterflies and Bumblebees Childcare,18815 SW Longacre St,Beaverton,OR,97003-2941,5037047483,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,.
Little Bee's Day Care,519 Ballad Way,Forest Grove,OR,97116,5039022738,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,.
Stepping Stones Montessori,735 NE Rogahn St,Hillsboro,OR,97124-1652,5037990585,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,2
Mrs Williams Childcare,699 NW Hertel St,Hillsboro,OR,97124,5036403004,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,4
Growing with Pride Learning Centers,20495 SW Boones Ferry Rd,Tualatin,OR,97062,5036915775,Center,Regulated  Center (not HS),Certified,67,Unknown,No,No,2
Patti Wulf Child Care,12345 SW Stillwell Ln,Beaverton,OR,97008,5035269353,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,144 NE Thomas Court,Hillsboro,OR,,9717707465,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
,17564 SW Keystone Ct,Aloha,OR,97007,5033565394,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
Tabby's Day Care,100 Park St,Gaston,OR,97119,5032773858,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
KinderCare - Farmington 982,18000 SW Farmington Rd,Aloha,OR,97007,5036424859,Center,Regulated  Center (not HS),Certified,122,Yes,No,No,2
Angie's Happy Learning Daycare,740 NW Connell Ave,Hillsboro,OR,97124,9717061220,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
,941 SW 215th Ave,Aloha,OR,97006,5036490348,Family,Regulated Family Child Care Home,Register,2,Unknown,No,No,.
Little Feet Child Care,11955 SW 116th Ave,Tigard,OR,97223-3102,5033325143,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
KCE Champions - Tobias Elementary,1065 SW 206th Ave,Aloha,OR,97003-1571,5035685130,Center,Regulated  Center (not HS),Certified,39,Unknown,No,No,.
Berry's Patch Daycare,5700 SW Rosa Pl,Aloha,OR,97007,5038108501,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Education Imagination Preschool,8635 SW Cashmur Ln,Portland,OR,97225,5038804401,Certified,Regulated Family Child Care Home,Certified,10,Yes,No,No,.
Columbia County Christian School,56523 Columbia River Hwy,Warren,OR,97053,5033669209,Center,Regulated  Center (not HS),Certified,24,Yes,No,No,.
Margo's Daycare,1490 NW Tremaine Ct,Beaverton,OR,97006,5035310115,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Happy House Child Care,12635 SW Rita Dr,Beaverton,OR,97005,5034070219,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,20840 SW 90th Ave,Tualatin,OR,97062,5036127756,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Creative Children's Center,2515 SW 185th Ave,Beaverton,OR,97003-3146,5035910604,Center,Regulated  Center (not HS),Certified,18,Unknown,No,No,.
,3839 Pacific Ave Unit 207,Forest Grove,OR,97116,5035837640,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Little Kids Town Child Care & Preschool,1496 SW 208th Ave,Aloha,OR,97003-6550,5033363708,Certified,Regulated Family Child Care Home,Certified,6,Yes,No,No,3
Roxy's Preschool and Daycare,2210 SW 189th Ave,Aloha,OR,97006,5033525215,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,5
Phamily Home Daycare,2405 SW 214th Place,Beaverton,OR,,9715339311,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
,14560 SW Chesterfield Ln,Tigard,OR,97224-1973,5034307320,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Miranda's Cuidado de Ninos,1082 S Jasper St Apt A,Cornelius,OR,97113,9713032782,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,3
St Paul Lutheran School,17500 SW Cedarview Way,Sherwood,OR,97140,5036256648,Center,Exempt Center,Recorded,24,Unknown,No,No,.
Patti's Child Care,17321 SW Brandyshire Ct,Durham,OR,97224,5039222431,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Casita Musical,11425 SW Denney Road,Beaverton,OR,,5036435143,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Small Town Childcare,315 N 3rd St,Saint Helens,OR,97051,5033661012,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,3
SwedeCare,2222 SE Foxglove Ct,Hillsboro,OR,97123,5036154119,Certified,Regulated Family Child Care Home,Certified,4,Unknown,No,No,5
Country Kids Learning Center,15293 NW Moresby Ct,Portland,OR,97229,5036148661,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,5
"We Village: Orenco, LLC",1295 NE Orenco Station Pkwy,Hillsboro,OR,97124-4404,5036407529,Center,Regulated  Center (not HS),Certified,32,Unknown,No,No,.
YMCA Child Development Center Beaverton,15650 Blueridge Dr,Beaverton,OR,97006,5034661312,Center,Regulated  Center (not HS),Certified,109,Yes,No,No,2
Mundo de Juguetes,1620 SW 187th Avenue,Aloha,OR,,9712456613,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
,17270 SW Noble Fir Ct,Sherwood,OR,97140,5039258957,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
,3552 SE Roanoke Ct,HIllsboro,OR,97123-8625,5038128284,Family,Regulated Family Child Care Home,Register,9,Yes,No,No,.
Generation Montessori Bilingual Child Care LLC,1105 SE 13th Ave,Hillsboro,OR,97123-4738,5038802058,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,4
YMCA - West Union Elementary School,23870 NW West Union Rd,Hillsboro,OR,97124,5038492179,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,2
Nuevo Mundo Bilingual Child Care,2085 SW 198th Ave,Beaverton,OR,97006,5032592886,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,2
Good Apple Childcare,2330 NE Sunrise Ln,Hillsboro,OR,97124-5954,5035049125,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,5
Annette's Child Care,2611 Forge Dr,Forest Grove,OR,97116,9714044089,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Nike South Campus Child Development  Center,1 Bowerman Dr,Beaverton,OR,97005,5036712078,Center,Regulated  Center (not HS),Certified,245,Unknown,No,No,5
,4905 SW Spencer Ave Apt 3,Beaverton,OR,97005,5037646620,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Gracious Hands Preschool,21175 SW Winterfield Ln,Beaverton,OR,97003-7086,5036421700,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,2
Bee Bops Little House LLC/ Bumble Babies,8021 SW Mapleleaf St,Tigard,OR,97223-8820,9717139232,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,.
Monkey Tree Learning Center,500 N Columbia River Hwy Ste 450,Saint Helens,OR,97051-1269,5034105158,Center,Regulated  Center (not HS),Certified,105,Yes,No,No,2
Continuing Education for Young Parents,1841 SW Merlo Dr,Beaverton,OR,97003-5013,5033563668,Center,Regulated  Center (not HS),Certified,25,Unknown,No,No,3
Flights of Fancy Daycare,18181 SW Oak St,Aloha,OR,97007,5033566162,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,14040 SW 105th Ave Apt B,Tigard,OR,97224,9712017066,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
Estrellitas Childcare LLC,5520 SW Lombard Ave,Beaverton,OR,97005-4031,5034698349,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,3
Scappoose Adventist School,54287 Columbia River Hwy,Scappoose,OR,97056-2530,5035436939,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,.
La Petite Academy - Sherwood,15940 SW Tualatin Sherwood Rd,Sherwood,OR,97140,5039251527,Center,Regulated  Center (not HS),Certified,140,Unknown,No,No,.
The Student Stop Cedar Mill,10265 NW Cornell Rd,Portland,OR,97229,5032971537,Center,Regulated  Center (not HS),Certified,72,Unknown,No,No,.
,17330 SW Sarala St,Beaverton,OR,97007-6761,5035151512,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,4230 SE Witch Hazel Rd,Hillsboro,OR,97123,5036485505,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
SweetPeas Early Learning Community,1862 NW 9th Ave,Hillsboro,OR,97124,9713363105,Certified,Regulated Family Child Care Home,Certified,14,Unknown,No,No,5
Blue Skies and Butterflies,15760 SW Davis Rd,Beaverton,OR,97007,5036445512,Center,Regulated  Center (not HS),Certified,52,Yes,No,No,.
Fun in Fundamentals Preschool,11735 SW Lynn St,Tigard,OR,97223-3160,9712442135,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Oregon Children's Academy,1045 NW 123rd Ave,Portland,OR,97229,5035260100,Center,Regulated  Center (not HS),Certified,95,Yes,No,No,.
A Child's Way Kindergarten - Preschool,12755 NW Dogwood St,Portland,OR,97229-5550,5036448407,Center,Exempt Center,Recorded,341,Unknown,No,No,.
,3190 SW 175th Ave,Aloha,OR,97003,5035917622,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
C Vivian Stringer Child Development Center,One Bowerman Dr,Beaverton,OR,97005,5036712078,Center,Regulated  Center (not HS),Certified,323,Unknown,No,No,5
Busy Little Bees Preschool & Daycare,1717 Hartford Dr,Forest Grove,OR,97116,5037018235,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,2
Vielka's Day Care,554 NE 40th Ave,Hillsboro,OR,97124,5037068770,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Sierra's Safari Child Care,11625 SW Ridgeview Ter,Beaverton,OR,97008,5038067353,Certified,Regulated Family Child Care Home,Certified,14,Yes,No,No,.
Timberline Learning Center,24645 SW Old Highway 99W,Sherwood,OR,97140,5037849176,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,.
Little Sunshines Play School,3082 SE Cornutt St,Hillsboro,OR,97123,5034428030,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,665 NW 10th Ave,Hillsboro,OR,97124,5036485508,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
Home Sweet Home,4700 SW 185th Ave Ste A,Beaverton,OR,97007,5039986776,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,2
"Ari's Academy, LLC",1835 NW 119th Ave,Portland,OR,97229-4909,5035479396,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Safe Haven Child Care,1060 SW 206th Ave,Beaverton,OR,97003-1570,5038484640,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,.
,20770 SW Houston Dr,Sherwood,OR,97140,5033829634,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Ana's Day Care,328 NE 9th Pl,Hillsboro,OR,97124,5037138033,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Kidcare Afterschool Program,52050 SE 3rd St,Scappoose,OR,97056,9712008034,Center,Regulated  Center (not HS),Certified,30,Yes,No,No,2
Connie's Daycare,350 SE 34th Ct,Hillsboro,OR,97123,5037476693,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Karen's Childcare,17800 NW Santiam Ct,Portland,OR,97229,5036450336,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Happy Apple,239 NE Lenox St,Hillsboro,OR,97124-3473,5034700424,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Sugar and Spice Child Care,6774 SW 173rd Pl,Aloha,OR,97007-5370,5034320893,Certified,Regulated Family Child Care Home,Certified,11,Yes,No,No,2
Ridgewood Educational After School Hours (REACH),10100 SW Inglewood St,Portland,OR,97225,5039147363,Center,Regulated  Center (not HS),Certified,50,Unknown,No,No,.
,346 S 5th Avenue,Cornelius,OR,,5035839009,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Melz Family Child Care,10180 SW 130th Ave,Beaverton,OR,97008,5035210762,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,561 NE Natalie St,Hillsboro,OR,97124,5034325631,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Knights Club Afterschool Care,4189 NW Visitation Rd,Forest Grove,OR,97116,5033576990,Center,Regulated  Center (not HS),Certified,28,Unknown,No,No,.
Nancy's Childcare,7415 SW Mickey Ct,Beaverton,OR,97007,5033561436,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,4802 SE Sandalwood St,Hillsboro,OR,97123-8856,5039295661,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
Club K After School Zone - Durham,7980 SW Durham Rd,Tigard,OR,97224,5033172421,Center,Regulated  Center (not HS),Certified,39,Unknown,No,No,2
Here We Grow Daycare,1216 Roseview Heights Ave,Vernonia,OR,97064-1181,5037999248,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
,14667 NW Vance Dr,Portland,OR,97229,5035687739,Family,Regulated Family Child Care Home,Register,3,Unknown,No,No,.
Preschool Palace,33700 SE High School Way,Scappoose,OR,,9712008005,Center,Exempt Center,Exempt,20,Unknown,No,No,.
Shannen's Precious Preschool and Loving Childcare,14155 SW Bonnie Brae St,Beaverton,OR,97005,5036269860,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Mary's Day Care,628 SE 5th Ave,Hillsboro,OR,97123,5412126596,Certified,Regulated Family Child Care Home,Certified,11,Yes,No,No,2
,14173 NW Greenwood Dr,Portland,OR,97229-2344,5035153628,Family,Regulated Family Child Care Home,Register,2,Unknown,No,No,.
Multicultural Child Care,6755 SW Imperial Dr,Beaverton,OR,97008,5035269035,Certified,Regulated Family Child Care Home,Certified,8,Yes,No,No,.
,21227 SW Yachats Ct,Tualatin,OR,97062,5039704202,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Little People Child Care,17371 NW Autumn Ridge Dr,Beaverton,OR,97006-4071,5033206905,Certified,Regulated Family Child Care Home,Certified,10,Unknown,No,No,.
,5700 NW Landing Dr,Portland,OR,97229,5036453389,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
Century High School Child Care Center,2000 SE Century Blvd,Hillsboro,OR,97123,5038441800,Center,Regulated  Center (not HS),Certified,12,Unknown,No,No,4
The Little Red Barn Day Care,3000 SW 198th Ave,Beaverton,OR,97003,5038480142,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,.
KinderCare - Hillsboro 1121,4600 NE Cornell Rd,Hillsboro,OR,97124,5036482443,Center,Regulated  Center (not HS),Certified,112,Yes,No,No,.
Wee Wisdom Preschool Inc,12250 SW Denny Rd,Beaverton,OR,97008,5035263996,Center,Exempt Center,Recorded,39,Unknown,No,No,.
Angels Academy LLC,17415 NW Walker Rd,Beaverton,OR,97006,5038108724,Center,Regulated  Center (not HS),Certified,54,Unknown,No,No,.
A Beary Loving Family Daycare,5470 SW Erickson Ave,Beaverton,OR,97005,5033182695,Family,Regulated Family Child Care Home,Register,2,Unknown,No,No,.
Little Lambs Too LLC,3095 SW 180th Pl,Aloha,OR,97003-3948,5037061161,Center,Exempt Center,Recorded,16,Unknown,No,No,.
Robin Waddell's Day Care,2861 SE 45th Ct,Hillsboro,OR,97123,5033679014,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
St Anthony's Extended Care and Preschool,12645 SW Pacific Hwy,Tigard,OR,97223-6116,5036394179,Center,Regulated  Center (not HS),Certified,73,Yes,No,No,.
Barnes-Miller Child Development Center,7345 SW Barnes Rd,Portland,OR,97225,5032927847,Center,Regulated  Center (not HS),Certified,97,Yes,No,No,.
"Small Friends, Inc.",7475 SW Oleson Rd,Portland,OR,97223,5035504107,Center,Exempt Center,Recorded,36,Unknown,No,No,.
Beaverton Pal Youth Center,12500 SW Allen Blvd,Beaverton,OR,97005,5034699137,Center,Exempt Center,Recorded,60,Unknown,No,No,.
,19129 SW Burkwood LN,Aloha,OR,97006-2855,9713406220,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
KinderCare - Scholls Ferry Road 1235,12658 SW North Dakota St,Tigard,OR,97223,5035249444,Center,Regulated  Center (not HS),Certified,117,Yes,No,No,2
,1320 SE Oak St,Hillsboro,OR,97123,5036930995,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,3
Lil' Learners Preschool,58690 Ross Rd,Warren,OR,97053,5033965048,Center,Exempt Center,Recorded,48,Unknown,No,No,.
Laurie's Childcare,2305 SW 187th Ave,Aloha,OR,97003-3049,5036425067,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,10450 SW McDonald St Apt 55,Tigard,OR,97224-4853,5039415357,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,2
,231 NE 57th Ave,Hillsboro,OR,97124,9719837496,Family,Regulated Family Child Care Home,Register,5,Unknown,No,No,.
Tualatin Valley Academy,7405 E Main St,Hillsboro,OR,97123,5036495518,Center,Regulated  Center (not HS),Certified,50,Unknown,No,No,.
El Mundo de los Ninos,14195 SW Derby St,Beaverton,OR,97005,5033360932,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,3
Metzger Community Preschool,9055 SW Locust St,Tigard,OR,97223,5035978525,Center,Exempt Center,Recorded,31,Unknown,No,No,.
Mi Escuelita,2325 21st Pl,Forest Grove,OR,97116,5036197263,Family,Regulated Family Child Care Home,Register,6,Yes,No,No,2
,805 SE 11th Ave,Hillsboro,OR,97123,5038469261,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Angelitos Child Care,6750 SW Scholls Ferry Rd Apt 25,Beaverton,OR,97008-5464,5039605438,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,2
,12450 SW Fischer Rd Unit 115,Tigard,OR,97224-2343,5035694700,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,2179 SE Nordlund Ct,Hillsboro,OR,97123,5035159959,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
Terrific Time Child Care and Preschool,2086 SE 54th Ave,Hillsboro,OR,97123-7829,5039169759,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,3
Hillsboro Parent Preschool,168 NE 8th Ave,Hillsboro,OR,97124,5036484781,Center,Exempt Center,Recorded,48,Unknown,No,No,.
El Trenecito/The Little Train,12255 SW 9th St,Beaverton,OR,97005,5036460187,Certified,Regulated Family Child Care Home,Certified,8,Yes,No,No,5
Wee Folks Kare Kampus,13000 SW Walker Rd,Beaverton,OR,97005,5035743640,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Kristin's Certified Child Care,7940 SW Lantana Pl,Beaverton,OR,97008-6282,5036431407,Certified,Regulated Family Child Care Home,Certified,6,Unknown,No,No,.
KCE Champions - Hopkins Elementary,21920 SW Sherwood Blvd,Sherwood,OR,97140,5039649027,Center,Regulated  Center (not HS),Certified,45,Unknown,No,No,.
A Lil' Dreamer's Childcare,11960 NW Marshall St,Portland,OR,97229,5036261180,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Baseline Learning Tree,20363 SW Baseline Rd,Aloha,OR,97006,5034398686,Center,Regulated  Center (not HS),Certified,106,Yes,No,No,2
Hall Blvd - Learning Tree,10360 SW 87th Ave,Tigard,OR,97223,5039770619,Center,Regulated  Center (not HS),Certified,105,Yes,No,No,.
,13240 SW Farmington Rd,Beaverton,OR,97005,5036442956,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Woodland Preschool and Childcare,751 SE Englewood Dr,Hillsboro,OR,97123,5035472861,Certified,Regulated Family Child Care Home,Certified,15,Yes,No,No,4
,2364 N Irvine St,Cornelius,OR,97113-7390,5037465010,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
YMCA - Sherwood CDC,22280 SW Washington St,Sherwood,OR,97140,5039259602,Center,Regulated  Center (not HS),Certified,86,Yes,No,No,2
Turquoise Learning Tree,15135 SW Beard Rd,Beaverton,OR,97007,5035908409,Center,Regulated  Center (not HS),Certified,118,Yes,No,No,2
,19670 SW 67th Ave,Tualatin,OR,97062,5033098545,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,18258 SW Saddlebrook Ct,Beaverton,OR,97006,5036420133,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
German International School of Portland,3900 SW Murray Blvd,Beaverton,OR,97005,5036269089,Center,Regulated  Center (not HS),Certified,60,Unknown,No,No,.
Lovely Lambs Childcare,5347 NW Skycrest Pkwy,Beaverton,OR,97229,5035331068,Certified,Regulated Family Child Care Home,Certified,13,Yes,No,No,.
,3119 Brittany Dr,Forest Grove,OR,97116-3127,5033524469,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Vazquez Day Care,24 S 17th Ct,Cornelius,OR,97113-6650,5033571895,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Bethany Village Montessori School,15188 NW Central Dr,Portland,OR,97229,5035335626,Center,Regulated  Center (not HS),Certified,120,Unknown,No,No,.
Cherry Blossom Preschool & Daycare,11939 SW Walker Rd,Beaverton,OR,97005-1412,5033524113,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Nae's Playcare Daycare,2247 SE Thrush Ave,Hillsboro,OR,97123,5036934647,Family,Regulated Family Child Care Home,Register,6,Yes,No,No,.
Highland Hills Family Childcare,6775 SW Wilson Ave,Beaverton,OR,97008,5035308944,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
My Little Waiting Room,9205 SW Barnes Rd,Portland,OR,97225,5032166597,Center,Regulated  Center (not HS),Certified,15,Unknown,No,No,.
YMCA - Deer Creek,16155 SW 131st Ave,Tigard,OR,97224,5038492269,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,2
Kids Academy,800 NW 107th Ave,Portland,OR,97229,5036415432,Center,Regulated  Center (not HS),Certified,39,Yes,No,No,.
,1467 S Elder Court,Cornelius,OR,,5037079881,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Bumble Bee Preschool & Daycare,22485 SW Main St,Sherwood,OR,97140,5036251144,Center,Regulated  Center (not HS),Certified,27,Yes,No,No,.
,302 NE 74th Ave,Hillsboro,OR,97124,5033301426,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Lucky Ladybug Child Care,6295 SW Main Ave,Beaverton,OR,97008-4603,5036434704,Certified,Regulated Family Child Care Home,Certified,10,Yes,No,No,3
Vermont Hills - Rock Creek,4125 NW 185th Ave,Portland,OR,97229,5032676148,Center,Regulated  Center (not HS),Certified,31,Unknown,No,No,2
Vermont Hills - St Cecilia School,12250 SW 5th St,Beaverton,OR,97005,5032672560,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,2
Caritas Daycare,12325 SW Tremont St,Portland,OR,97225,5036460367,Certified,Regulated Family Child Care Home,Certified,10,Yes,No,No,.
,19545 SW Boones Ferry Road,Tualatin,OR,,5034311996,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
,2976 NE Brogden St,Hillsboro,OR,97124,5037466542,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,2
